date,part_id,category,supplier,region,demand,inventory,lead_time_days,price_usd
2021-01-01,PART_001,Controller,SupplierA,Asia Pacific,79,3420,23,822.29
2021-01-01,PART_002,Filter,SupplierC,Latin America,53,2835,21,3545.66
2021-01-01,PART_003,Sensor,SupplierC,Latin America,15,810,24,4498.41
2021-01-01,PART_004,Controller,SupplierA,Europe,31,1305,4,144.26
2021-01-01,PART_005,Filter,SupplierD,North America,46,1980,25,3352.73
2021-01-01,PART_006,Valve,SupplierA,Europe,65,2610,29,2055.65
2021-01-01,PART_007,Sensor,SupplierB,Latin America,64,2880,12,2207.34
2021-01-01,PART_008,Filter,SupplierC,Latin America,25,1305,10,2033.64
2021-01-01,PART_009,Filter,SupplierA,North America,46,2160,12,1154.09
2021-01-01,PART_010,Valve,SupplierC,Latin America,42,2295,21,759.25
2021-01-01,PART_011,Pump,SupplierC,Europe,32,1395,20,748.84
2021-01-01,PART_012,Filter,SupplierC,North America,56,2205,17,960.35
2021-01-01,PART_013,Filter,SupplierC,Europe,28,1485,16,2957.79
2021-01-01,PART_014,Valve,SupplierB,North America,67,3015,7,1990.32
2021-01-01,PART_015,Valve,SupplierA,North America,96,3510,25,1440.82
2021-01-01,PART_016,Valve,SupplierA,North America,13,585,4,3992.94
2021-01-01,PART_017,Pump,SupplierA,Asia Pacific,42,1440,4,1531.43
2021-01-01,PART_018,Pump,SupplierA,Latin America,74,3285,7,2716.84
2021-01-01,PART_019,Sensor,SupplierA,Latin America,9,315,11,4499.13
2021-01-01,PART_020,Controller,SupplierA,Latin America,59,2340,12,1043.02
2021-01-01,PART_021,Pump,SupplierD,North America,88,3375,19,3366.44
2021-01-01,PART_022,Sensor,SupplierD,North America,37,1260,27,1905.56
2021-01-01,PART_023,Valve,SupplierA,Europe,65,2655,8,4870.47
2021-01-01,PART_024,Filter,SupplierA,Europe,13,450,7,3053.31
2021-01-01,PART_025,Sensor,SupplierA,Latin America,86,3465,21,2903.29
2021-01-01,PART_026,Sensor,SupplierD,Latin America,64,2160,27,1730.56
2021-01-01,PART_027,Controller,SupplierD,Asia Pacific,34,1125,3,2764.89
2021-01-01,PART_028,Controller,SupplierA,North America,49,1710,8,1279.98
2021-01-01,PART_029,Pump,SupplierA,North America,42,2025,7,491.5
2021-01-01,PART_030,Sensor,SupplierA,Latin America,55,1755,13,1343.48
2021-01-01,PART_031,Filter,SupplierA,Latin America,75,2655,28,2962.36
2021-01-01,PART_032,Controller,SupplierD,Europe,16,585,17,1991.82
2021-01-01,PART_033,Filter,SupplierD,Latin America,25,1035,7,1310.88
2021-01-01,PART_034,Pump,SupplierB,Europe,55,2250,8,144.84
2021-01-01,PART_035,Sensor,SupplierD,Europe,27,900,22,1014.05
2021-01-01,PART_036,Filter,SupplierB,Asia Pacific,90,3015,20,1444.31
2021-01-01,PART_037,Valve,SupplierD,Latin America,13,585,3,1786.75
2021-01-01,PART_038,Filter,SupplierC,North America,38,1755,7,1837.56
2021-01-01,PART_039,Filter,SupplierC,Asia Pacific,5,225,28,4459.61
2021-01-01,PART_040,Controller,SupplierC,Europe,183,1845,29,2789.67
2021-01-01,PART_041,Sensor,SupplierA,Latin America,82,2745,24,252.23
2021-01-01,PART_042,Pump,SupplierD,Asia Pacific,43,1665,7,267.17
2021-01-01,PART_043,Filter,SupplierC,Asia Pacific,65,2475,28,2306.17
2021-01-01,PART_044,Filter,SupplierC,Europe,101,3510,3,897.11
2021-01-01,PART_045,Sensor,SupplierA,Asia Pacific,89,3060,20,2900.94
2021-01-01,PART_046,Filter,SupplierB,Europe,66,2025,26,4206.65
2021-01-01,PART_047,Valve,SupplierD,Asia Pacific,107,3330,23,2598.57
2021-01-01,PART_048,Filter,SupplierD,Latin America,86,3195,8,1946.61
2021-01-01,PART_049,Filter,SupplierA,North America,80,3015,28,3090.11
2021-01-01,PART_050,Pump,SupplierD,North America,46,1485,5,2367.9
2021-01-01,PART_051,Filter,SupplierB,Europe,71,2610,29,1342.35
2021-01-01,PART_052,Pump,SupplierB,North America,74,2250,14,2612.74
2021-01-01,PART_053,Filter,SupplierA,North America,9,315,13,3496.22
2021-01-01,PART_054,Controller,SupplierD,Europe,52,2115,3,3199.91
2021-01-01,PART_055,Valve,SupplierD,Latin America,59,2430,4,755.19
2021-01-01,PART_056,Pump,SupplierD,Europe,38,1935,15,3158.26
2021-01-01,PART_057,Controller,SupplierA,Europe,61,2025,9,4927.38
2021-01-01,PART_058,Sensor,SupplierB,Latin America,52,1665,25,4306.19
2021-01-01,PART_059,Valve,SupplierD,North America,76,2655,14,2723.37
2021-01-01,PART_060,Valve,SupplierB,North America,70,2430,9,2718.88
2021-01-01,PART_061,Sensor,SupplierC,Europe,90,3105,15,2145.89
2021-01-01,PART_062,Controller,SupplierD,Latin America,78,2700,26,1709.97
2021-01-01,PART_063,Controller,SupplierC,Asia Pacific,40,1980,17,1973.26
2021-01-01,PART_064,Valve,SupplierC,Latin America,18,810,7,831.75
2021-01-01,PART_065,Filter,SupplierC,Europe,89,3060,16,4418.13
2021-01-01,PART_066,Filter,SupplierD,Europe,81,2835,17,2264.58
2021-01-01,PART_067,Valve,SupplierA,Asia Pacific,51,2970,13,1244.84
2021-01-01,PART_068,Pump,SupplierC,Asia Pacific,101,3555,3,3835.24
2021-01-01,PART_069,Sensor,SupplierB,Latin America,53,2520,6,4672.1
2021-01-01,PART_070,Filter,SupplierD,North America,33,1215,24,3310.9
2021-01-01,PART_071,Sensor,SupplierB,North America,19,630,8,4597.9
2021-01-01,PART_072,Sensor,SupplierB,North America,32,990,15,4899.51
2021-01-01,PART_073,Valve,SupplierB,Asia Pacific,71,2655,26,2497.97
2021-01-01,PART_074,Controller,SupplierB,Europe,51,1755,6,1390.46
2021-01-01,PART_075,Valve,SupplierB,Latin America,21,810,28,102.33
2021-01-01,PART_076,Filter,SupplierA,Europe,10,405,17,2464.26
2021-01-01,PART_077,Filter,SupplierA,Latin America,71,2790,20,2719.53
2021-01-01,PART_078,Filter,SupplierA,North America,77,3465,25,4429.22
2021-01-01,PART_079,Sensor,SupplierD,Asia Pacific,41,1395,13,4013.83
2021-01-01,PART_080,Filter,SupplierB,North America,40,1530,29,3045.99
2021-01-01,PART_081,Valve,SupplierC,Europe,49,1935,27,4368.0
2021-01-01,PART_082,Controller,SupplierC,North America,49,2025,27,2573.83
2021-01-01,PART_083,Sensor,SupplierB,Europe,12,405,11,1237.66
2021-01-01,PART_084,Filter,SupplierD,Europe,27,1485,6,2471.02
2021-01-01,PART_085,Valve,SupplierA,Asia Pacific,59,2250,23,4683.04
2021-01-01,PART_086,Filter,SupplierD,Latin America,52,2070,5,1546.36
2021-01-01,PART_087,Filter,SupplierD,Europe,56,2205,17,93.09
2021-01-01,PART_088,Valve,SupplierC,Latin America,51,2025,21,1464.6
2021-01-01,PART_089,Sensor,SupplierC,Asia Pacific,83,3150,21,4392.22
2021-01-01,PART_090,Controller,SupplierD,Asia Pacific,69,3060,5,3123.72
2021-01-01,PART_091,Controller,SupplierD,Europe,49,2250,20,4769.25
2021-01-01,PART_092,Filter,SupplierB,Latin America,17,855,8,3425.97
2021-01-01,PART_093,Controller,SupplierB,Asia Pacific,9,405,3,1107.08
2021-01-01,PART_094,Pump,SupplierD,Asia Pacific,57,2115,28,1824.7
2021-01-01,PART_095,Pump,SupplierD,Latin America,10,450,7,3926.79
2021-01-01,PART_096,Sensor,SupplierB,North America,83,3285,12,2789.07
2021-01-01,PART_097,Valve,SupplierC,North America,25,1035,4,350.75
2021-01-01,PART_098,Filter,SupplierB,Latin America,34,1620,28,871.73
2021-01-01,PART_099,Sensor,SupplierA,Asia Pacific,62,3285,7,2948.13
2021-01-01,PART_100,Controller,SupplierA,North America,16,855,6,113.89
2021-01-01,PART_101,Pump,SupplierD,North America,7,450,27,4823.29
2021-01-01,PART_102,Sensor,SupplierD,North America,52,2115,4,97.29
2021-01-01,PART_103,Pump,SupplierB,Europe,39,2160,8,1380.1
2021-01-01,PART_104,Filter,SupplierC,Latin America,10,495,29,1760.32
2021-01-01,PART_105,Controller,SupplierA,Asia Pacific,80,3330,19,2555.64
2021-01-01,PART_106,Filter,SupplierA,Europe,36,1215,12,4837.69
2021-01-01,PART_107,Filter,SupplierA,North America,33,2115,10,4374.65
2021-01-01,PART_108,Controller,SupplierD,North America,12,720,11,4071.44
2021-01-01,PART_109,Filter,SupplierD,Asia Pacific,4,225,29,1180.13
2021-01-01,PART_110,Filter,SupplierD,North America,57,3150,10,1674.5
2021-01-01,PART_111,Pump,SupplierD,Latin America,63,2970,5,4405.9
2021-01-01,PART_112,Controller,SupplierA,Europe,43,1755,14,1146.94
2021-01-01,PART_113,Valve,SupplierB,Latin America,51,2115,3,2206.41
2021-01-01,PART_114,Controller,SupplierB,Europe,40,1620,9,2768.39
2021-01-01,PART_115,Valve,SupplierB,Latin America,55,3465,21,731.54
2021-01-01,PART_116,Filter,SupplierD,Latin America,14,810,22,4443.79
2021-01-01,PART_117,Controller,SupplierC,Europe,35,1755,4,2808.23
2021-01-01,PART_118,Filter,SupplierC,Latin America,43,2475,21,854.14
2021-01-01,PART_119,Pump,SupplierD,Asia Pacific,35,2160,6,3391.42
2021-01-01,PART_120,Sensor,SupplierA,Europe,73,3060,24,73.87
